,장소이름,소개,가격대,요리,특별식 제공,식사 시간,특징
10,삼다정,"제주의 자연이 주는 소중한 재료에 특급 쉐프의 정성어린 손길을 더해 가장 제주답고도 세계적인 요리를 선보이는, 프리미엄 라이브 뷔페 ‘삼다정’제주 도내 특급 호텔 최초로 신선한 재료를 즉석에서 요리하여 선보이는 Live Kitchen 스타일의 ‘삼다정’은 제주의 멋을 담은 격조 높은 공간 속에, 비즈니스 · 가족 모임을 위한 6개의 별실을 갖춘 프리미엄 뷔페 레스토랑입니다.",₩30 - ₩77,"이탈리아 요리, 한국, 퓨전, 인터내셔널",,"아침식사, 점심식사, 저녁식사","예약, 좌석, 주차 가능, 무료 주차장, 유아용 의자 있음, 휠체어 이용 가능, 주류 판매, 다양한 주류를 제공, 와인 및 맥주, 마스터카드, 비자카드, 전자 결제, 무료 와이파이, 부페, 신용카드 결제 가능, 테이블 서비스"
11,자매국수,,,"아시아 요리, 한국",,"아침식사, 점심식사, 저녁식사","좌석, 테이블 서비스"
12,바그다드,,₩10 - ₩22,인도 요리,"채식주의 식단, 채식 옵션, 할랄, 글루텐 프리","점심식사, 저녁식사","야외석, 유아용 의자 있음, 예약, 좌석, 주류 판매, 다양한 주류를 제공, 무료 와이파이, 테이블 서비스, 테이크아웃"
13,스시 호시카이,,,"일본 요리, 해산물, 스시, 아시아 요리",,"저녁식사, 점심식사","예약, 테이블 서비스, 좌석"
14,흑돈가 제주본점,,,"바베큐, 아시아 요리, 한국",,"점심식사, 저녁식사","예약, 좌석, 휠체어 이용 가능, 주류 판매, 테이블 서비스"
15,고집돌우럭 - 함덕점,"농림축산식품부 선정 코로나 방역 우수식당 식약처 인증 위생등급 ""우수"" 획득(제주 2만여개 일반음식점 중 유일) 네이버, 구글 총 리뷰수 1위 인스타 게시물 수 1위 고객웨이팅 리뷰 제주도 내 최다, 최고평점(4.8점) 트립어드바이저 2018, 2019 으뜸시설 선정 (제주시 1위, 서귀포시 1위)","₩19,000 - ₩54,000","한국, 해산물",,"저녁식사, 점심식사, 브런치","주차 가능, 테이크아웃, 예약, 좌석, 무료 주차장, 무료 야외 주차, 유아용 의자 있음, 휠체어 이용 가능, 주류 판매, 무료 와이파이, 신용카드 결제 가능, 테이블 서비스, 드라이브 스루, 해변, 가족형, 금연 음식점"
16,모디카,,"₩17,647 - ₩47,059","이탈리아 요리, 수프, 유럽 요리, 카페, 지중해 요리","채식 옵션, 채식주의 식단","점심식사, 저녁식사, 야간 영업, 음료","좌석, 주차 가능, 무료 주차장, 유아용 의자 있음, 주류 판매, 와인 및 맥주, 아메리칸 익스프레스, 마스터카드, 비자카드, 무료 와이파이, 디스커버 카드, 예약, 노상 주차, 테이블 서비스, 신용카드 결제 가능"
17,애월리안,,"₩17,647 - ₩41,176","해산물, 지중해 요리, 와인 바, 이탈리아 요리, 건강식",채식주의 식단,"점심식사, 저녁식사, 브런치, 음료","좌석, 주차 가능, 무료 주차장, 유아용 의자 있음, 주류 판매, 무료 와이파이, 신용카드 결제 가능, 테이블 서비스, 테이크아웃, 예약, 다양한 주류를 제공, 와인 및 맥주"
18,삼대 국수회관,,,"아시아 요리, 한국",,"아침식사, 점심식사, 저녁식사, 브런치","좌석, 테이블 서비스"
19,자매국수,,,"아시아 요리, 한국",,,
20,비원,,,"한국, 아시아 요리, 수프",,"점심식사, 저녁식사","휠체어 이용 가능, 예약, 좌석, 테이블 서비스"
21,삼성혈해물탕,,,"해산물, 아시아 요리, 한국",,저녁식사,테이블 서비스
22,리치망고,,,,,,테이크아웃
23,르 쉬느아,"세계적인 중식 셰프로 제주신화월드 중식 총괄셰프 알란 찬 웨이 룬(Alan Chan Wai Lun, 陳偉倫)이 30년 조리 노하우를 담아 낸 정통 중식의 진수를 르쉬느아에서 만나보세요. 르 쉬느아는 최상의 식재료를 이용하여 중국 본토의 맛을 선보일 뿐만 아니라, 웍에서 뿜어져 나오는 열기가 느껴지는 오픈 키친 앞에 서면 오감으로 식도락을 즐길 수 있습니다.","₩18,000 - ₩128,000","중국 요리, 아시아 요리",,"저녁식사, 점심식사, 음료","예약, 좌석, 테이크아웃, 프라이빗 다이닝, 주차 가능, 무료 주차장, 무료 야외 주차, 유아용 의자 있음, 휠체어 이용 가능, 주류 판매, 전자 결제, 무료 와이파이, 신용카드 결제 가능"
24,화로향,,,"바베큐, 아시아 요리, 한국",,"저녁식사, 점심식사","좌석, 테이블 서비스"
25,저팔계깡통연탄구이,,,"아시아 요리, 한국",,,예약
26,곰막,,,,,,
27,동복해녀식당,,,"해산물, 아시아 요리, 한국",,점심식사,주차 가능
28,Mt Everest Indian and Nepalese Restaurant,,"₩7,000 - ₩15,000","인도 요리, 티벳, 네팔, 아시아 요리",,"저녁식사, 점심식사","예약, 테이블 서비스, 좌석, 상품권 이용 가능"
29,산호 전복,,,"아시아 요리, 한국",,점심식사,좌석
30,은희네해장국,,,,,아침식사,"테이크아웃, 테이블 서비스"
31,국수마당,,,,,아침식사,
32,바당봉봉,,,,,,테이크아웃
33,하하호호,,,,,,
34,모래비카페,,,,,,
35,모닥식탁,,,,,,
36,일통이반,,,,,,
37,사랑분식,,,"아시아 요리, 한국",,,
38,김희선제주몸국,,,,,,
39,모리,,,,,,예약
40,늘봄 흙돼지,,,"바베큐, 한국, 아시아 요리",,"저녁식사, 점심식사","예약, 좌석, 주차 가능, 테이크아웃, 유아용 의자 있음, 휠체어 이용 가능, 테이블 서비스"
41,놀맨닷컴,,,"아시아 요리, 한국",,"점심식사, 저녁식사",
42,한림칼국수,,,,,,
43,코하쿠,,"₩44,705,880 - ₩235,294,112","일본 요리, 스시",,"점심식사, 저녁식사","예약, 프라이빗 다이닝, 좌석, 주차 가능, 무료 주차장, 주류 판매, 다양한 주류를 제공, 무료 와이파이, 신용카드 결제 가능, 무료 야외 주차, 와인 및 맥주, 전자 결제"
44,미친부엌,,,일본 요리,,,
45,면뽑는선생만두빚는아내,,,,,,
46,모이세 해장국,,,"아시아 요리, 한국",,,
47,미풍해장국,,,,,아침식사,
48,낭뜰에쉼팡,,,,,,
49,88돼지,,,"바베큐, 아시아 요리, 한국",,"저녁식사, 점심식사","테이블 서비스, 예약, 좌석"
50,유리네,,,"해산물, 아시아 요리, 한국",,저녁식사,예약
51,숙성도,,,"바베큐, 아시아 요리, 한국, 그릴",,,
52,버드나무집,,,,,,
53,다소니,,,"아시아 요리, 한국",,"점심식사, 저녁식사, 브런치, 음료","예약, 야외석, 프라이빗 다이닝, 주차 가능, 노상 주차, 마스터카드, 비자카드, 신용카드 결제 가능, 테이블 서비스, 가족형, 금연 음식점"
54,제주 보쌈,,,"아시아 요리, 한국",,"점심식사, 저녁식사","테이크아웃, 좌석, 테이블 서비스"
55,곱들락,,,,,,
56,닐모리동동,,,,,브런치,
57,칠돈가,,,,,,
58,서촌제,,,,,,
59,ZZZ제주흑돼지,,,"아시아 요리, 한국",,,
60,몽땅,,,카페,,,
61,덤장 중문점,,,,,,
62,수 우동,,,일본 요리,,,
63,삼무국수,,,,,"점심식사, 저녁식사",테이블 서비스
64,민경이네 어등포해녀촌,,,해산물,,,
65,해녀 횟집,,,"아시아 요리, 한국",,,
66,평대스낵,,,,,,
67,흑소랑,,,,,,
68,태광식당,,,,,,
69,라스또르따스,,,,,점심식사,테이크아웃
70,섬 소나이,,,퓨전,,,
71,황금손가락,,,,,,
72,라지마할,,"₩5,882 - ₩17,647","인도 요리, 아시아 요리","채식주의 식단, 할랄, 채식 옵션","저녁식사, 점심식사","테이크아웃, 좌석, 주류 판매, 예약, 테이블 서비스"
73,앤트러사이트,,,,,,테이크아웃
74,물항식당,,,"아시아 요리, 한국",,저녁식사,
75,아라파파,,,,,,
76,도두해녀의집,,,,,,
77,맥도날드,,,,,,테이크아웃
78,성미가든,,,,,,
79,Maguroshokudo,,,,,,
80,카페태희,,,"미국 요리, 영국 요리, 펍, 캐나다",,,
81,피자굽는돌하르방,,,,,,
82,칠돈가,,,,,,
83,신설오름,,,,,,
84,에이트,,,"카페, 자가 맥주 판매pub",,,
85,우도섬,,,,,,
86,더스푼,,,"이탈리아 요리, 카페, 해산물",,,테이블 서비스
87,교촌치킨,,,"패스트푸드, 아시아 요리, 한국",,,
88,도르 다이닝,,,"이탈리아 요리, 유럽 요리, 스페인 요리",,"점심식사, 저녁식사",
89,삼대전통고기국수,,,,,"아침식사, 점심식사, 저녁식사",
90,해녀촌,,,,,,
91,제주김만복 동문시장점,,,"아시아 요리, 한국",,"아침식사, 점심식사, 저녁식사",테이크아웃
92,대우정,,,,,,
93,티티카카,,,"카페, 한국",,,
94,톰톰카레,,,,,,
95,다가미,,,,,,
96,피어22,,,"해산물, 스페인 요리, 아시아 요리, 한국, 펍",,,
97,제주 김만복,,"₩6,500 - ₩15,000","아시아 요리, 한국, 길거리 음식, 다이너",,"아침식사, 점심식사, 저녁식사, 음료","배달, 테이크아웃, 예약, 좌석, 주차 가능, 무료 주차장, 신용카드 결제 가능, 금연 음식점"
98,리치망고,,,,,,테이크아웃
99,풍원,,,,,,
100,나목도식당,,,"아시아 요리, 한국",,,
101,망고홀릭,,,,,,
102,진아떡집,,,,,,
103,명리동식당,,,,,,
104,서울분식,,,,,,
105,재연식당,,,,,,
106,And Yu Cafe,,₩6 - ₩12,"카페, 인터내셔널, 아시아 요리, 한국, 영국 요리, 건강식",,"아침식사, 점심식사, 저녁식사, 브런치","좌석, 노상 주차, 유아용 의자 있음, 무료 와이파이, 신용카드 결제 가능"
107,상춘재,,,,,,
108,잠녀 해녀촌,,,"아시아 요리, 한국",,,
109,돈사돈 별관,,,,,,
110,평대성게국수,,,"해산물, 아시아 요리, 한국",,,
111,템플스테이푸드,집밥처럼 편안한 제주 사찰음식점 [템플스테이푸드] *무오신채를 고집합니다.[마늘/파/양파/부추/달래/흥건을 사용하지 않습니다] *육류/어류/젓갈류를 사용하지 않습니다. *인공조미료를 사용하지 않습니다. *모든 주요식재료는 국내산/제주산으로 조리합니다. *모든 음식 조리시 수돗물이 아닌 정수물로 조리합니다.,"₩10,000 - ₩15,000","아시아 요리, 한국","채식주의 식단, 채식 옵션","점심식사, 저녁식사","테이크아웃, 야외석, 좌석, 주차 가능, 노상 주차, 무료 주차장, 무료 야외 주차, 아메리칸 익스프레스, 마스터카드, 비자카드, 전자 결제, 무료 와이파이, 디스커버 카드"
112,매기의 추억,,,,,,
113,돈사촌,,,,,,
114,송림반점,,,,,,
115,장수물식당,,,,,,
116,무거버거,,,"아시아 요리, 한국",,,
117,이스트엔드,,,,,,
118,협재1번가 술집밥집,,,"아시아 요리, 한국, 펍, 퓨전, 개스트로펍",,저녁식사,
119,투썸플레이스,,,,,,
120,바람벽에흰당나귀,,,,,,
121,돌하르방식당,,,"아시아 요리, 한국",,,
122,카페베네 제주점,,,카페,,,
123,물메골,,,,,,
124,큰갯물횟집,,,"해산물, 아시아 요리, 한국",,,
125,해녀잠수촌,,,,,,
126,카페세바,,,,,,
127,만복 횟집,,,"해산물, 아시아 요리, 한국",,,
128,맛나식당,,,,,,
129,요술식탁,"‘요술식탁‘은 ’요리와 술이 있는 맛있는 식탁‘이라는 뜻으로 제주시를 중심으로 동쪽 월정리 해안가에 위치해 있으며 식사와 디저트, 차와 음료를 한꺼번에 즐기실 수 있는 멀티 레스토랑입니다. 대표 식사 메뉴로는 최상급 제주 청정 한우를 사용해 육질이 일품인 ‘제주 한우 수비드 스테이크 플랫’과 수비드 조리하여 촉촉해진 닭가슴살과 이탈리아식 카포나타 샐러드를 곁들여 드실 수 있는 ‘닭가슴살 수비드 플랫’이 있습니다. 각 플랫은 1인 메뉴이며 한라봉 드레싱 샐러드, 매시포테이토, 에그 베네딕트, 구좌 당근 수프, 삼색 찬이 함께 제공됩니다. 세트 메뉴 선택하시면 이탈리아 정통 케이크 ‘수제 티라미수’와 함께 드실 수 있습니다. 요술식탁에서는 전문 바리스타가 선사하는 플랫화이트, 카페라떼, 아메리카노, 아인슈패너 등 다양한 커피를 맛보실 수 있습니다. 또한 제주 특산품 한라봉과 영귤을 이용한 ‘한라봉 에이드’, ‘영귤 에이드’와(Tea로도 가능) 구좌읍에서 직접 생산한 당근을 그대로 갈아 넣은 ‘구좌 당근주스’ 등 다양한 음료도 즐기실 수 있습니다.","₩16,000 - ₩21,000","프랑스 요리, 일본 요리, 아시아 요리, 한국, 퓨전",,"음료, 점심식사, 저녁식사","야외석, 좌석, 주차 가능, 노상 주차, 무료 주차장, 주류 판매, 다양한 주류를 제공, 와인 및 맥주, 무료 와이파이, 신용카드 결제 가능"
130,씨카페,,"₩33,000 - ₩80,000","이탈리아 요리, 중국 요리, 일본 요리, 아시아 요리, 한국, 퓨전",,"아침식사, 점심식사, 저녁식사",
131,황금어장,,,한국,,,
132,이런날엔,"월정리와 평대리 사이에 위치한 구좌 한동리의 바닷가 카페&레스토랑 이런날엔에서는 조선호텔 15년 경력의 쉐프가 조리하는 최상의 음식을 멋진 제주한동바다를 감상하며 즐길 수 있습니다. 계절인기메뉴인 파인애플빙수와 에이드,스무디,매일만드는 케잌등디저트류와 함께 전세계호텔에서 가장많이 사용하는 네스프레소 커피머신으로 최상의 커피를 제공하는 등 다양한 카페메뉴도 야외테라스에서 즐길 수 있습니다.","₩5,000 - ₩30,000","이탈리아 요리, 피자, 카페, 아시아 요리, 한국",,"점심식사, 저녁식사",
133,화진전복,,,,,,
134,유메,,,일본 요리,,"점심식사, 저녁식사",
135,이춘옥원조고등어쌈밥,,,,,,
136,순옥이네명가,,,,,,
137,제주해물밥,,,,,,
138,은혜전복,,,"아시아 요리, 한국",,,
139,충민정,,,"아시아 요리, 한국",,,
140,제주올레냉면 - 제주점,,,한국,,"점심식사, 저녁식사",
141,제주돗,,,,,,
142,돔배돈,,,"바베큐, 아시아 요리, 한국",,"점심식사, 저녁식사","좌석, 주류 판매, 테이블 서비스"
143,애월식탁,제주 바다를 품고 애월 한담에 위치한 애월식탁 입니다. 비치색의 바다가 한눈에 보이는 2층 테라스에 앉아 미슐랭 출신 쉐프들이 차려주는 식탁을 즐겨보세요. 셰프들이 직접 제주도를 돌아다니며 좋은 식재료와 사라져가는 식재료를 가지고 와서 요리합니다. B급 농작물을 활용하여 새로운 메뉴를 만들어 농가에게도 서로 상생하려는 다양한 활동을 하고 있습니다.,"₩10,000 - ₩28,000","이탈리아 요리, 사우스웨스턴, 아시아 요리, 한국",,"점심식사, 저녁식사, 음료","야외석, 좌석, 주차 가능, 무료 주차장, 유아용 의자 있음, 주류 판매, 다양한 주류를 제공, 무료 와이파이, 신용카드 결제 가능, 테이블 서비스, 해변, 가족형, 금연 음식점"
144,어우늘,,,"아시아 요리, 한국",,,
145,자파타스,,,,,,
146,마라도횟집,,,,,,
147,미미 이자카야,,,일본 요리,,,
148,교래손칼국수,,,,,,
149,국수 장터,,,,,,
150,명리동 식당,,,바베큐,,,
151,웃뜨르 우리돼지,,,"아시아 요리, 한국",,,
152,올댓제주,,,,,,
153,테우,,,,,,
154,제원삼계탕,,,,,,
155,어머니빵집,,,,,,테이크아웃
156,국수만찬,,,,,,
157,수제협재돈가스,,,"아시아 요리, 한국",,"점심식사, 저녁식사",
158,심야식당 코나카,,,"일본 요리, 해산물, 스시",,,
159,골막식당,,,"아시아 요리, 한국",,,
160,망고레이,,,,,,
161,토끼와거북이,,,,,,
162,커핀그루나루,,,,,,
163,ROOSTPLACE,,,,,,
164,마를린먼로,,,카페,,,
165,어마장장,,,,,,
166,바오밥 신제주점,,,"미국 요리, 바, 피자, 펍",,저녁식사,
167,제주몬트락 제주본점,,,"아시아 요리, 한국",,,
168,로맨틱 하드보일드,,"₩8,000 - ₩32,000","이탈리아 요리, 자가 맥주 판매pub, 카페, 펍, 와인 바",,,
169,후거키친,,,,,,
170,잠녀해녀촌,,,,,,
171,보영반점,,,중국 요리,,,
172,세이슌,,,일본 요리,,,
173,앞뱅디식당,,,,,,
174,메종드쁘티푸르,,,,,,
175,카페8,전면 유리창을 통해 야외 풀데크를 바라볼 수 있는 카페 8 은 따사로운 제주 햇살의 온기를 느낄 수 있습니다. 편안하고 세련된 분위기의 공간에서 신선한 제주의 식재료를 이용한 이탈리안 플레이트를 즐겨보세요.,"₩30,000 - ₩200,000","이탈리아 요리, 피자, 유럽 요리",,"아침식사, 점심식사, 저녁식사",
176,프로젝트 064 다방,,,이탈리아 요리,,,
177,신의한모,,,아시아 요리,,,
178,김서방재첩해장국,,,,,,
179,맘스터치,,,,,,
180,은희네해장국,,,,,,
181,교래흑돼지,,,,,,
182,달사막,,,"자가 맥주 판매pub, 펍",,,
183,요리하는 목수,,,"아시아 요리, 한국",,"점심식사, 저녁식사",
184,팟타이만,,,타이 요리,,,
185,초우식당,,,한국,,,
186,용담골,,,"아시아 요리, 한국",,,
187,커피파인더,,,,,,
188,고래가될카페,,,,,,
189,제주시 새우리,,,한국,,,
190,제주 애월 요망진도세기,아름답기로 유명한 제주 애월에서 좋은 사람들과 맛있기로 소문난 흑돼지를 드셔보십시요. 여행의 재미가 더욱 깊어질것입니다. 신선하고 맛있는 음식을 준비하고 있겠습니다.,"₩8,000 - ₩18,000","바베큐, 한국",,저녁식사,
191,하노이안브라더스,,,,,,
192,종달수다뜰,,,,,,
193,고객식당,,,,,,
194,산지물,,,"아시아 요리, 한국",,,
195,춘심이네2,,,,,,
196,부농,,,,,,
197,까미노,,,카페,,,
198,저스트쉬림프,"아름다운 석양을 만날 수 있는 테라스 10 미터 거리의 해녀를 만날 수 있는 고즈넉한 바다. 공항에서 서쪽으로 15분이면 꿈에 그리던 제주바다와 멋진 레스토랑을 만날 수 있어요. 세계를 여행하던 여행자들이 친절한 서빙과 대화를 나눠 보세요. 제주 특산품인 딱새우의 새우와 오징어, 랍스터의 다양한 맛을 경험해 보세요.","₩11,765 - ₩58,824","피자, 와인 바",,,
199,불도야지,,,"아시아 요리, 한국, 중국 요리",,저녁식사,
200,파리바게뜨,,,,,,
201,늘봄흑돼지,,,,,,
202,올랭이와물꾸럭,,,,,,
203,삼대 국수회관 노형점,,,"아시아 요리, 한국",,,
204,해오름식당,,,"아시아 요리, 한국",,,
205,서문뒷고기,,,,,,
206,천해천,"100가지의 골라먹는 재미가 있는 샤브샤브 뷔페 제주에서 유일하게 무제한으로 하겐다즈를 먹을 수 있고, 스타벅스 커피를 마시며 소모임 장소로 제격인 곳 규모 -1층은 가족과 연인 4~6인용 위주 1st floor: available for 1~6 people -2층은 12인석~50인석 소모임과 단체석 위주 2nd floor: mostly available for group of more than 12 people. 영업시간 business hours weekdays -lunch: 11:00~15:00 -dinner: 17:00~22:00 weekend -11:00~22:00","₩9,411,765 - ₩40,000,000","중국 요리, 일본 요리, 아시아 요리, 타이 요리, 한국, 말레이시아",,"점심식사, 저녁식사, 브런치","좌석, 주차 가능, 무료 주차장, 무료 야외 주차, 유아용 의자 있음, 주류 판매, 다양한 주류를 제공, 와인 및 맥주, 전자 결제, 무료 와이파이"
207,덕인당보리빵,,,,,,
208,숙이네보리빵,,,,,,
209,꿈꾸는흰당나귀,,,,,,
210,해녀식당,,,,,,
211,선흘곶,,,,,,
212,하르방밀면,,,,,,
213,아라돼지,,,,,,
214,오거리식당,,,,,,
215,도남오거리식당,,,"아시아 요리, 한국",,,
216,BHC치킨,,,,,,
217,어매흑돼지,,,,,,
218,오쿠다,,,"아시아 요리, 한국",,"점심식사, 저녁식사",
219,교래향,,,,,"아침식사, 점심식사, 저녁식사",
220,미원해장국,,,,,,
221,하도작은식당,,,"이탈리아 요리, 프랑스 요리",,"점심식사, 저녁식사",
222,은희네해장국,,,,,,
223,망고레이,,,,,,
224,CoCoMAMA,,,,,"아침식사, 점심식사, 저녁식사",
225,돈풍년,,,,,,
226,코코분식,,,,,,
227,윗세오름,,,,,,
228,고래배꼽,,,,,,
229,성산회관,,,"이탈리아 요리, 아시아 요리, 한국",,"점심식사, 저녁식사",
230,요리하는남자,,,,,,
231,맥도날드,,,,,,
232,그마니네,,,,,,
233,용연횟집,,,"해산물, 아시아 요리, 한국",,,
234,추자본섬,,,,,"점심식사, 저녁식사","테이크아웃, 예약, 좌석, 주차 가능, 노상 주차, 무료 주차장, 휠체어 이용 가능, 주류 판매, 다양한 주류를 제공, 아메리칸 익스프레스, 마스터카드, 비자카드, 전자 결제, 무료 와이파이, 신용카드 결제 가능, 테이블 서비스, 가족형, 상품권 이용 가능"
235,우정횟집,,,,,,
236,제라한 보쌈,,,"아시아 요리, 한국",,,
237,신해바라기분식,,,,,,
238,아웃백 제주점,,,스테이크하우스,,저녁식사,
239,흑돼지가있는풍경,,,,,,
240,유빈,,,"아시아 요리, 한국",,,
241,곽지국시,,,,,,
242,맘스터치,,,,,,
243,미엘드세화,,,,,,
244,청해림,,,,,,
245,애슐리 롯데마트점,,,,,,
246,호돌이식당,,,,,,
247,오래옥식당,,,,,,
248,닻,,,"아시아 요리, 한국",,,
249,산방식당,,,,,,
250,국수사랑,,,,,,
251,쿠우쿠우 제주시청점,,,"아시아 요리, 한국",,,
252,삼대국수회관 신제주점,,,,,,
253,청도해물탕,,,,,,
254,백선횟집,,,,,,
255,아일랜드팩토리,,,,,,
256,고불락,,,,,,
257,세러데이아일랜드,,,이탈리아 요리,,,
258,아루요,,,,,,
259,효섬마을초가집,,,,,,
260,서울식당,,,,,,
261,해와달그리고섬,,,,,,
262,사려니숲길화덕피자,,,,,,
263,탐앤탐스,,,,,,
264,카카듀카페,,,,,,
265,덤장,,,"해산물, 아시아 요리, 한국",,,
266,제주KAL호텔프리미엄뷔페,,,,,,
267,산지해장국,,,,,,
268,커피콩,,,,,,
269,해광식당,,,,,,
270,카페예그리나,,,,,,
271,태백산,,,,,,
272,월정리갈비밥,,,"바베큐, 아시아 요리, 한국",,,
273,제주마당,,,,,,
274,모살,,,,,,
275,오름위에,,,,,,
276,춘심이네3,,,,,,
277,곰막,,,,,,
278,오병장,,,"아시아 요리, 한국",,,
279,풍전,,,,,,
280,오현돼지불백,,,,,,
281,황금무지개초밥,,,,,,
282,홍소반,,,,,,
283,맛있는폴부엌,,,,,,
284,뼈대감,,,,,,
285,투썸플레이스,,,,,,
286,루스트플레이스 시청점,,,,,,
287,젠레스토랑,,,,,,
288,광치기흑돼지정육식당,,,"바베큐, 아시아 요리, 한국",,,
289,삼다도횟집,,,,,,
290,야자수식당,,,,,,
291,제스피,,,,,저녁식사,
292,제주정지,,,,,,
293,바다속고등어쌈밥,,,,,,
294,큐티파이 카페,,,"카페, 퓨전",,,
295,BBQ치킨,,,,,,
296,생이소리,,,,,,
297,남춘식당,,,,,,
298,제주한면가,,,한국,,,
299,카페베네,,,,,,
300,북촌9길빵,,,,,,
301,잇수다,,,,,,
302,죽이야기 제주한국병원점,,,"아시아 요리, 한국",,,
303,삼일식당,,,"아시아 요리, 한국",,,
304,설심당,,,,,,
305,인판포카페,,,"미국 요리, 남미 요리",,"아침식사, 점심식사, 저녁식사",
306,모드락,,,,,,
307,곤밥보리밥,,,,,,
308,만조이천쌀밥,,,,,,
309,제주한라국수,,,"아시아 요리, 한국",,,
310,사형제 횟집,,,"해산물, 아시아 요리, 한국",,,
311,비바리짬뽕,,,,,,
312,테왁,,,,,,
313,아일랜드조르바,,,,,,
314,착한튀김,,,,,,
315,백성원해장국,,,,,,
316,저지오름국수,,,,,,
317,도갈비,,,"아시아 요리, 한국",,저녁식사,
318,대풍미락,,,,,,
319,스시우다,,,"일본 요리, 인터내셔널",,,
320,카페베네 제주시청점,,,카페,,저녁식사,
321,먹물먹은흑돼지,,,,,,
322,BBQ치킨,,,,,,
323,7번가피자,,,,,,
324,숨비소리횟집,,,,,,
325,바다를달리는자전거,,,,,,
326,보엠,,,,,,
327,VIPS,,,,,,
328,월정어촌계,,,,,,
329,협재삼춘네횟집,,,,,,
330,순이네식당,,,,,,
331,봉플라봉뱅,,,"이탈리아 요리, 프랑스 요리, 유럽 요리, 다이너, 와인 바",,,
332,돈사촌,,,,,,
333,BHC치킨,,,,,,
334,우도로93,,,"일본 요리, 아시아 요리, 한국, 퓨전",,점심식사,
335,친구테이블,,,,,,
336,고집78,,,"바베큐, 아시아 요리, 한국",,,
337,키친그듸,제주의 맛을 담은 정갈한 가정식 키친그듸 입니다. 제주산 제철재료로 반찬을 하고 신선한 재료로 요리합니다. 돔베고기 갈치조림 전복물회 해물뚝배기 게우볶음밥 제주산생물고등어조림 모두 인기메뉴입니다. 사계절내내 살얼음 가득한 전복물회와 돔베고기 드시러 오세요^^ 베이베체어 베이비식기 주차장 완비 전기차 충전기있습니다.,"₩10,000 - ₩12,000","아시아 요리, 한국, 퓨전",,,
